30165703	NA
30165548	NA
30165370	NA
30161172	NA
30161101	NA
30158702	NA
30158473	NA
30157877	PMC6114501
30157796	PMC6114840
30157702	NA
30157230	NA
30157200	NA
30157086	NA
30154858	NA
30154854	NA
30151125	PMC6102531
30153540	NA
30153349	NA
30152267	NA
30151811	NA
30151809	NA
30151808	NA
30151807	NA
30151805	NA
30151804	NA
30151585	NA
30151175	PMC6106172
30151171	PMC6106196
30150604	NA
30148757	NA
30148731	NA
30148140	PMC6088200
30147944	PMC6104751
30145260	NA
30144807	PMC6109322
30143829	NA
30142218	NA
30141707	NA
30140772	e00742
30139396	NA
30139353	PMC6108107
30139342	PMC6108136
30138695	NA
30137610	NA
30135052	NA
30134294	NA
30134293	NA
30134290	NA
30133510	NA
30132425	NA
30131572	PMC6104032
30131571	PMC6104046
30131253	NA
30129152	NA
30128832	NA
30128100	PMC6092133
30127016	NA
30125353	NA
30125171	NA
30123987	NA
30123980	NA
30123697	PMC6086102
30123385	PMC6062910
30122904	PMC6078080
30122789	PMC5913732
30121756	NA
30120706	NA
30120548	NA
30120168	NA
30119666	PMC6098617
30119636	PMC6098596
30118434	PMC6108842
30117472	NA
30117196	NA
30117158	NA
30116600	PMC6089301
30116482	NA
30116141	PMC6083558
30116015	NA
30115087	PMC6097342
30115064	PMC6097429
30113403	NA
30112432	PMC6091238
30112010	NA
30111201	NA
30109590	NA
30109456	NA
30109430	NA
30109391	NA
30107851	PMC6092782
30106975	PMC6091919
30106283	NA
30105967	NA
30105965	NA
30105964	NA
30105251	NA
30105192	PMC6086810
30105094	PMC6074632
30105093	PMC6074629
30104046	NA
30103995	NA
30103825	PMC6090627
30102848	NA
30102697	NA
30101204	PMC6076407
30100973	PMC6080977
30100971	PMC6080980
30099603	NA
30097680	NA
30097679	NA
30097027	PMC6086996
30096210	PMC6086469
30096199	PMC6086417
30096177	PMC6086393
30096148	PMC6086397
30096147	PMC6086428
30095545	NA
30094361	e00681
30094029	PMC6079933
30092769	PMC6085719
30092043	PMC6084967
30090868	NIHMS954590
30089497	PMC6083510
30089159	PMC6082557
30089120	PMC6101407
30088167	NA
